  cell  ,E,W,N,S
"(134, 41)",0,1,1,1
"(135, 41)",0,0,1,0
"(136, 41)",1,1,0,1
"(137, 41)",0,0,1,0
"(138, 41)",1,0,0,1
"(139, 41)",0,1,1,0
"(140, 41)",1,0,0,1
"(141, 41)",0,0,1,1
"(142, 41)",0,1,1,0
"(143, 41)",1,1,0,0
"(144, 41)",0,1,0,1
"(145, 41)",0,0,1,1
"(146, 41)",0,1,1,1
"(147, 41)",1,1,1,0
"(148, 41)",1,0,0,1
"(149, 41)",0,0,1,1
"(150, 41)",0,1,1,0
"(151, 41)",1,0,0,1
"(152, 41)",0,1,1,0
"(153, 41)",0,1,0,1
"(154, 41)",0,0,1,1
"(155, 41)",1,0,1,0
"(156, 41)",1,0,0,1
"(157, 41)",1,0,1,0
"(158, 41)",1,0,0,1
"(159, 41)",0,1,1,0
"(160, 41)",1,1,0,0
"(161, 41)",1,1,0,0
"(162, 41)",1,0,0,0
"(163, 41)",1,1,0,0
"(164, 41)",0,1,0,1
"(165, 41)",1,1,1,0
"(166, 41)",1,0,0,0
"(167, 41)",1,0,0,1
"(168, 41)",0,0,1,1
"(169, 41)",0,1,1,0
"(170, 41)",0,1,0,1
"(171, 41)",0,0,1,1
"(172, 41)",0,1,1,0
"(173, 41)",1,0,0,1
"(174, 41)",0,1,1,0
"(175, 41)",0,1,0,1
"(176, 41)",1,0,1,0
"(177, 41)",1,0,0,1
"(178, 41)",0,1,1,0
"(179, 41)",1,1,0,0
"(180, 41)",1,1,0,0
"(181, 41)",1,0,0,0
"(182, 41)",1,1,0,0
"(183, 41)",0,1,0,1
"(184, 41)",1,0,1,0
"(185, 41)",1,0,0,1
"(186, 41)",1,1,1,0
"(187, 41)",0,1,0,0
"(188, 41)",1,1,0,0
"(189, 41)",1,1,0,0
"(190, 41)",0,1,0,0
"(191, 41)",1,0,0,1
"(192, 41)",0,1,1,1
"(193, 41)",0,0,1,0
"(194, 41)",1,1,0,0
"(195, 41)",1,0,0,1
"(196, 41)",0,1,1,0
"(197, 41)",0,1,0,1
"(198, 41)",0,0,1,1
"(199, 41)",0,1,1,1
"(200, 41)",0,1,1,0
"(1, 42)",1,1,0,1
"(2, 42)",0,1,1,0
"(3, 42)",1,1,0,1
"(4, 42)",1,0,1,1
"(5, 42)",0,0,1,0
"(6, 42)",1,1,0,0
"(7, 42)",1,0,0,1
"(8, 42)",1,0,1,0
"(9, 42)",1,1,0,0
"(10, 42)",0,1,0,1
"(11, 42)",0,0,1,1
"(12, 42)",0,0,1,1
"(13, 42)",1,0,1,0
"(14, 42)",1,0,0,1
"(15, 42)",1,0,1,1
"(16, 42)",0,1,1,0
"(17, 42)",0,1,0,1
"(18, 42)",0,0,1,1
"(19, 42)",1,0,1,0
"(20, 42)",1,1,0,0
"(21, 42)",0,1,0,1
"(22, 42)",1,0,1,0
"(23, 42)",1,0,0,1
"(24, 42)",0,0,1,1
"(25, 42)",0,0,1,1
"(26, 42)",1,0,1,0
"(27, 42)",0,1,0,1
"(28, 42)",1,1,1,0
"(29, 42)",1,0,0,1
"(30, 42)",1,0,1,0
"(31, 42)",0,1,0,0
"(32, 42)",1,1,0,0
"(33, 42)",1,1,0,0
"(34, 42)",0,0,0,1
"(35, 42)",0,0,1,1
"(36, 42)",0,1,1,1
"(37, 42)",0,0,1,1
"(38, 42)",0,0,1,1
"(39, 42)",0,1,1,0
"(40, 42)",0,1,0,1
"(41, 42)",1,0,1,0
"(42, 42)",0,1,0,1
"(43, 42)",1,0,1,0
"(44, 42)",1,1,0,0
"(45, 42)",1,1,0,0
"(46, 42)",0,1,0,1
"(47, 42)",1,0,1,0
"(48, 42)",1,0,0,1
"(49, 42)",0,0,1,1
"(50, 42)",0,1,1,0
"(51, 42)",0,1,0,0
"(52, 42)",0,1,0,1
"(53, 42)",0,1,1,1
"(54, 42)",0,0,1,0
"(55, 42)",1,0,0,1
"(56, 42)",1,0,1,0
"(57, 42)",1,0,0,1
"(58, 42)",0,1,1,0
"(59, 42)",1,1,0,0
"(60, 42)",1,1,0,0
"(61, 42)",1,0,0,1
"(62, 42)",0,0,1,1
"(63, 42)",1,1,1,0
"(64, 42)",0,1,0,1
"(65, 42)",1,0,1,0
"(66, 42)",1,0,0,1
"(67, 42)",1,1,1,0
"(68, 42)",0,1,0,1
"(69, 42)",1,0,1,0
"(70, 42)",0,1,0,0
"(71, 42)",1,1,0,0
"(72, 42)",1,0,0,1
"(73, 42)",0,0,1,0
"(74, 42)",1,1,0,0
"(75, 42)",1,1,0,1
"(76, 42)",1,0,1,0
"(77, 42)",1,1,0,1
"(78, 42)",0,0,1,1
"(79, 42)",0,1,1,0
"(80, 42)",0,1,0,1
"(81, 42)",1,0,1,0
"(82, 42)",1,0,0,1
"(83, 42)",0,1,1,0
"(84, 42)",1,1,0,0
"(85, 42)",1,1,0,0
"(86, 42)",1,1,0,0
"(87, 42)",1,1,0,0
"(88, 42)",0,1,0,0
"(89, 42)",1,1,0,0
"(90, 42)",1,0,0,1
"(91, 42)",0,0,1,1
"(92, 42)",1,0,1,0
"(93, 42)",0,1,0,1
"(94, 42)",0,0,1,1
"(95, 42)",1,1,1,0
"(96, 42)",0,1,0,1
"(97, 42)",1,0,1,0
"(98, 42)",1,1,0,0
"(99, 42)",1,0,0,1
"(100, 42)",0,1,1,1
"(101, 42)",0,0,1,0
"(102, 42)",1,1,0,0
"(103, 42)",1,1,0,0
"(104, 42)",0,1,0,1
"(105, 42)",1,0,1,0
"(106, 42)",1,0,0,1
"(107, 42)",0,1,1,0
"(108, 42)",1,0,0,0
"(109, 42)",1,1,0,0
"(110, 42)",1,1,0,0
"(111, 42)",0,1,0,1
"(112, 42)",1,1,1,0
"(113, 42)",1,0,0,0
"(114, 42)",1,1,0,0
"(115, 42)",1,1,0,0
"(116, 42)",1,1,0,0
"(117, 42)",0,0,0,1
"(118, 42)",0,1,1,1
"(119, 42)",0,0,1,1
"(120, 42)",1,0,1,0
"(121, 42)",1,0,0,1
"(122, 42)",0,1,1,0
"(123, 42)",1,1,0,1
"(124, 42)",1,0,1,0
"(125, 42)",1,1,0,0
"(126, 42)",1,1,0,0
"(127, 42)",1,1,0,0
"(128, 42)",1,0,0,1
"(129, 42)",1,1,1,0
"(130, 42)",0,0,0,1
"(131, 42)",1,0,1,0
"(132, 42)",1,1,0,0
"(133, 42)",0,1,0,0
"(134, 42)",1,0,0,1
"(135, 42)",1,0,1,0
"(136, 42)",0,1,0,1
"(137, 42)",1,0,1,1
"(138, 42)",0,1,1,1
"(139, 42)",0,0,1,0
"(140, 42)",0,1,0,1
"(141, 42)",1,0,1,0
"(142, 42)",1,0,0,0
"(143, 42)",0,1,0,1
"(144, 42)",1,0,1,0
"(145, 42)",1,0,0,1
"(146, 42)",1,0,1,0
"(147, 42)",0,1,0,0
"(148, 42)",1,1,0,1
"(149, 42)",1,0,1,0
"(150, 42)",1,0,0,1
"(151, 42)",0,1,1,0
"(152, 42)",1,0,0,1
"(153, 42)",1,0,1,0
"(154, 42)",0,0,0,1
"(155, 42)",0,1,1,0
"(156, 42)",1,1,0,0
"(157, 42)",0,1,0,1
"(158, 42)",0,1,1,0
"(159, 42)",1,0,0,1
"(160, 42)",0,1,1,0
"(161, 42)",0,1,0,1
"(162, 42)",1,1,1,0
"(163, 42)",1,1,0,0
"(164, 42)",1,0,0,0
"(165, 42)",1,1,0,0
"(166, 42)",1,1,0,0
"(167, 42)",1,1,0,0
"(168, 42)",0,0,0,1
"(169, 42)",0,0,1,1
"(170, 42)",1,0,1,0
"(171, 42)",1,0,0,1
"(172, 42)",1,0,1,0
"(173, 42)",0,1,0,1
"(174, 42)",1,0,1,0
"(175, 42)",1,0,0,0
"(176, 42)",0,1,0,1
"(177, 42)",0,1,1,0
"(178, 42)",1,0,0,0
"(179, 42)",1,1,0,0
"(180, 42)",1,1,0,0
"(181, 42)",1,1,0,0
"(182, 42)",1,1,0,1
"(183, 42)",0,0,1,0
"(184, 42)",0,1,0,1
"(185, 42)",0,1,1,0
"(186, 42)",1,1,0,0
"(187, 42)",1,0,0,1
"(188, 42)",0,1,1,0
"(189, 42)",1,1,0,0
"(190, 42)",1,0,0,1
"(191, 42)",0,1,1,0
"(192, 42)",1,0,0,1
"(193, 42)",1,0,1,0
"(194, 42)",1,1,0,0
"(195, 42)",0,1,0,1
"(196, 42)",1,0,1,0
"(197, 42)",1,0,0,1
"(198, 42)",0,0,1,1
"(199, 42)",0,0,1,1
"(200, 42)",1,0,1,0
"(1, 43)",1,1,0,0
"(2, 43)",1,0,0,1
"(3, 43)",0,1,1,0
"(4, 43)",0,1,0,1
"(5, 43)",1,0,1,0
"(6, 43)",0,1,0,1
"(7, 43)",0,1,1,0
"(8, 43)",0,1,0,1
"(9, 43)",0,1,1,0
"(10, 43)",1,0,0,1
"(11, 43)",0,0,1,1
"(12, 43)",1,0,1,0
"(13, 43)",0,1,0,1
"(14, 43)",0,1,1,0
"(15, 43)",0,1,0,0
"(16, 43)",1,0,0,1
"(17, 43)",0,0,1,1
"(18, 43)",0,0,1,1
"(19, 43)",0,1,1,0
"(20, 43)",1,1,0,0
"(21, 43)",1,0,0,0
"(22, 43)",1,1,0,0
"(23, 43)",1,1,0,0
"(24, 43)",1,0,0,1
"(25, 43)",0,0,1,0
"(26, 43)",0,1,0,1
"(27, 43)",1,0,1,0
"(28, 43)",0,1,0,1
"(29, 43)",0,1,1,0
"(30, 43)",0,1,0,1
"(31, 43)",1,0,1,0
"(32, 43)",1,1,0,0
"(33, 43)",0,1,0,1
"(34, 43)",0,0,1,1
"(35, 43)",1,0,1,0
"(36, 43)",1,0,0,1
"(37, 43)",1,0,1,0
"(38, 43)",1,0,0,0
"(39, 43)",1,0,0,1
"(40, 43)",0,0,1,1
"(41, 43)",0,1,1,0
"(42, 43)",1,0,0,1
"(43, 43)",0,1,1,0
"(44, 43)",0,1,0,1
"(45, 43)",1,1,1,0
"(46, 43)",1,0,0,0
"(47, 43)",1,1,0,0
"(48, 43)",1,1,0,0
"(49, 43)",1,0,0,1
"(50, 43)",1,0,1,1
"(51, 43)",1,0,1,0
"(52, 43)",1,0,0,1
"(53, 43)",0,0,1,1
"(54, 43)",0,0,1,1
"(55, 43)",0,1,1,0
"(56, 43)",0,1,0,1
"(57, 43)",0,1,1,0
"(58, 43)",1,0,0,1
"(59, 43)",0,1,1,1
"(60, 43)",0,1,1,0
"(61, 43)",1,1,0,0
"(62, 43)",0,0,0,1
"(63, 43)",1,1,1,0
"(64, 43)",1,0,0,0
"(65, 43)",0,1,0,1
"(66, 43)",0,1,1,0
"(67, 43)",1,1,0,0
"(68, 43)",1,0,0,0
"(69, 43)",0,1,0,1
"(70, 43)",0,0,1,1
"(71, 43)",0,1,1,0
"(72, 43)",1,1,0,0
"(73, 43)",1,0,0,1
"(74, 43)",0,1,1,0
"(75, 43)",0,1,0,0
"(76, 43)",1,1,0,0
"(77, 43)",0,1,0,0
"(78, 43)",1,0,0,1
"(79, 43)",0,0,1,1
"(80, 43)",1,0,1,0
"(81, 43)",0,1,0,1
"(82, 43)",0,1,1,0
"(83, 43)",1,0,0,1
"(84, 43)",0,1,1,0
"(85, 43)",1,1,0,0
"(86, 43)",1,1,0,0
"(87, 43)",0,1,0,1
"(88, 43)",0,0,1,1
"(89, 43)",0,1,1,0
"(90, 43)",1,1,0,0
"(91, 43)",1,0,0,0
"(92, 43)",1,1,0,0
"(93, 43)",1,0,0,1
"(94, 43)",1,0,1,0
"(95, 43)",0,1,0,1
"(96, 43)",0,0,1,0
"(97, 43)",1,1,0,0
"(98, 43)",1,1,0,1
"(99, 43)",0,1,1,0
"(100, 43)",1,0,0,0
"(101, 43)",1,0,0,1
"(102, 43)",0,1,1,0
"(103, 43)",0,1,0,1
"(104, 43)",0,0,1,0
"(105, 43)",0,1,0,1
"(106, 43)",0,1,1,0
"(107, 43)",1,0,0,1
"(108, 43)",0,1,1,0
"(109, 43)",1,1,0,0
"(110, 43)",1,1,0,0
"(111, 43)",1,0,0,0
"(112, 43)",0,1,0,1
"(113, 43)",1,1,1,0
"(114, 43)",0,1,0,1
"(115, 43)",0,1,1,0
"(116, 43)",0,1,0,1
"(117, 43)",1,0,1,0
"(118, 43)",0,0,0,1
"(119, 43)",0,0,1,1
"(120, 43)",0,1,1,0
"(121, 43)",1,1,0,0
"(122, 43)",1,0,0,1
"(123, 43)",1,1,1,0
"(124, 43)",0,1,0,0
"(125, 43)",0,1,0,1
"(126, 43)",0,1,1,0
"(127, 43)",1,1,0,0
"(128, 43)",1,1,0,0
"(129, 43)",0,1,0,1
"(130, 43)",0,0,1,1
"(131, 43)",1,1,1,0
"(132, 43)",0,1,0,1
"(133, 43)",0,0,1,1
"(134, 43)",0,1,1,0
"(135, 43)",0,1,0,1
"(136, 43)",1,0,1,0
"(137, 43)",0,1,0,1
"(138, 43)",1,0,1,0
"(139, 43)",1,0,0,1
"(140, 43)",1,0,1,0
"(141, 43)",1,1,0,0
"(142, 43)",1,1,0,1
"(143, 43)",0,0,1,1
"(144, 43)",0,1,1,0
"(145, 43)",1,1,0,0
"(146, 43)",0,1,0,1
"(147, 43)",1,0,1,0
"(148, 43)",1,1,0,0
"(149, 43)",1,1,0,0
"(150, 43)",0,1,0,1
"(151, 43)",0,0,1,1
"(152, 43)",0,1,1,0
"(153, 43)",1,1,0,0
"(154, 43)",1,0,0,1
"(155, 43)",1,0,1,0
"(156, 43)",0,1,0,1
"(157, 43)",0,0,1,1
"(158, 43)",1,0,1,0
"(159, 43)",0,1,0,1
"(160, 43)",0,0,1,1
"(161, 43)",1,0,1,0
"(162, 43)",0,1,0,0
"(163, 43)",1,1,0,0
"(164, 43)",0,1,0,1
"(165, 43)",1,1,1,0
"(166, 43)",1,1,0,0
"(167, 43)",0,1,0,1
"(168, 43)",1,0,1,0
"(169, 43)",1,0,0,1
"(170, 43)",0,1,1,0
"(171, 43)",1,1,0,0
"(172, 43)",0,1,0,1
"(173, 43)",0,0,1,1
"(174, 43)",0,1,1,0
"(175, 43)",1,1,0,1
"(176, 43)",0,0,1,0
"(177, 43)",1,0,0,1
"(178, 43)",0,1,1,1
"(179, 43)",0,1,1,0
"(180, 43)",0,1,0,1
"(181, 43)",1,1,1,0
"(182, 43)",0,1,0,1
"(183, 43)",0,0,1,1
"(184, 43)",0,0,1,1
"(185, 43)",0,0,1,1
"(186, 43)",0,1,1,0
"(187, 43)",0,1,0,1
"(188, 43)",1,0,1,0
"(189, 43)",0,1,0,1
"(190, 43)",0,1,1,1
"(191, 43)",0,0,1,0
"(192, 43)",1,1,0,0
"(193, 43)",0,1,0,1
"(194, 43)",0,1,1,0
"(195, 43)",1,0,0,0
"(196, 43)",0,1,0,1
"(197, 43)",0,1,1,0
"(198, 43)",1,0,0,1
"(199, 43)",1,0,1,0
"(200, 43)",1,1,0,0
"(1, 44)",1,1,0,0
"(2, 44)",0,1,0,1
"(3, 44)",0,0,1,1
"(4, 44)",1,0,1,0
"(5, 44)",1,1,0,1
"(6, 44)",0,0,1,1
"(7, 44)",1,0,1,0
"(8, 44)",1,0,0,1
"(9, 44)",0,0,1,1
"(10, 44)",1,1,1,0
"(11, 44)",1,0,0,0
"(12, 44)",0,1,0,1
"(13, 44)",1,0,1,0
"(14, 44)",1,0,0,1
"(15, 44)",0,0,1,1
"(16, 44)",0,1,1,0
"(17, 44)",1,0,0,1
"(18, 44)",0,0,1,1
"(19, 44)",0,0,1,0
"(20, 44)",1,1,0,0
"(21, 44)",1,1,0,0
"(22, 44)",1,1,0,0
"(23, 44)",1,1,0,0
"(24, 44)",1,1,0,1
"(25, 44)",0,0,1,1
"(26, 44)",1,0,1,0
"(27, 44)",1,1,0,0
"(28, 44)",1,0,0,1
"(29, 44)",0,0,1,1
"(30, 44)",1,0,1,0
"(31, 44)",0,1,0,1
"(32, 44)",1,1,1,0
"(33, 44)",1,0,0,1
"(34, 44)",0,0,1,1
"(35, 44)",1,1,1,0
"(36, 44)",1,1,0,0
"(37, 44)",1,1,0,0
"(38, 44)",0,1,0,1
"(39, 44)",0,1,1,1
"(40, 44)",0,0,1,1
"(41, 44)",0,0,1,1
"(42, 44)",1,1,1,0
"(43, 44)",0,0,0,1
"(44, 44)",0,0,1,1
"(45, 44)",0,1,1,1
"(46, 44)",0,1,1,0
"(47, 44)",0,1,0,1
"(48, 44)",1,1,1,0
"(49, 44)",1,1,0,0
"(50, 44)",1,1,0,0
"(51, 44)",0,1,0,1
"(52, 44)",0,1,1,0
"(53, 44)",1,0,0,0
"(54, 44)",1,0,0,1
"(55, 44)",0,0,1,1
"(56, 44)",0,0,1,1
"(57, 44)",0,0,1,1
"(58, 44)",0,1,1,0
"(59, 44)",1,0,0,1
"(60, 44)",1,0,1,0
"(61, 44)",1,1,0,1
"(62, 44)",1,0,1,0
"(63, 44)",0,1,0,1
"(64, 44)",0,1,1,1
"(65, 44)",1,0,1,1
"(66, 44)",0,0,1,0
"(67, 44)",1,1,0,1
"(68, 44)",0,1,1,1
"(69, 44)",0,0,1,1
"(70, 44)",0,0,1,1
"(71, 44)",0,0,1,0
"(72, 44)",1,1,0,1
"(73, 44)",0,1,1,0
"(74, 44)",0,0,0,1
"(75, 44)",1,0,1,1
"(76, 44)",0,1,1,1
"(77, 44)",0,0,1,1
"(78, 44)",0,1,1,0
"(79, 44)",1,0,0,0
"(80, 44)",0,1,0,1
"(81, 44)",0,0,1,1
"(82, 44)",1,0,1,0
"(83, 44)",0,1,0,1
"(84, 44)",0,0,1,1
"(85, 44)",0,1,1,0
"(86, 44)",1,1,0,0
"(87, 44)",1,0,0,1
"(88, 44)",0,0,1,1
"(89, 44)",0,0,1,1
"(90, 44)",0,1,1,0
"(91, 44)",1,1,0,1
"(92, 44)",0,1,1,0
"(93, 44)",1,1,0,0
"(94, 44)",0,1,0,1
"(95, 44)",1,0,1,0
"(96, 44)",1,0,0,1
"(97, 44)",1,1,1,0
"(98, 44)",0,1,0,1
"(99, 44)",0,0,1,1
"(100, 44)",0,1,1,0
"(101, 44)",0,1,0,1
"(102, 44)",0,0,1,1
"(103, 44)",1,0,1,0
"(104, 44)",1,0,0,1
"(105, 44)",0,0,1,1
"(106, 44)",1,0,1,0
"(107, 44)",1,1,0,1
"(108, 44)",1,0,1,0
"(109, 44)",0,1,0,1
"(110, 44)",0,1,1,0
"(111, 44)",1,1,0,1
"(112, 44)",0,0,1,0
"(113, 44)",0,1,0,1
"(114, 44)",1,0,1,0
"(115, 44)",1,0,0,1
"(116, 44)",1,0,1,0
"(117, 44)",0,1,0,1
"(118, 44)",0,0,1,1
"(119, 44)",0,0,1,1
"(120, 44)",0,0,1,1
"(121, 44)",0,1,1,0
"(122, 44)",0,1,0,0
"(123, 44)",1,1,0,0
"(124, 44)",1,0,0,1
"(125, 44)",1,0,1,1
"(126, 44)",1,0,1,0
"(127, 44)",1,1,0,0
"(128, 44)",0,1,0,1
"(129, 44)",1,0,1,0
"(130, 44)",1,0,0,0
"(131, 44)",1,1,0,0
"(132, 44)",1,0,0,0
"(133, 44)",1,0,0,1
"(134, 44)",1,0,1,0
"(135, 44)",1,0,0,1
"(136, 44)",0,1,1,0
"(137, 44)",0,0,0,1
"(138, 44)",0,1,1,0
"(139, 44)",1,1,0,0
"(140, 44)",1,1,0,0
"(141, 44)",1,1,0,0
"(142, 44)",1,1,0,0
"(143, 44)",1,0,0,1
"(144, 44)",1,0,1,0
"(145, 44)",1,1,0,0
"(146, 44)",1,0,0,0
"(147, 44)",1,1,0,0
"(148, 44)",0,1,0,0
"(149, 44)",1,1,0,0
"(150, 44)",1,0,0,1
"(151, 44)",1,0,1,0
"(152, 44)",1,0,0,0
"(153, 44)",1,1,0,0
"(154, 44)",1,1,0,0
"(155, 44)",0,1,0,1
"(156, 44)",0,0,1,1
"(157, 44)",1,0,1,0
"(158, 44)",1,1,0,1
"(159, 44)",1,0,1,1
"(160, 44)",0,0,1,0
"(161, 44)",0,1,0,1
"(162, 44)",1,0,1,0
"(163, 44)",0,1,0,1
"(164, 44)",1,0,1,0
"(165, 44)",0,1,0,1
"(166, 44)",1,1,1,0
"(167, 44)",1,0,0,0
"(168, 44)",1,1,0,0
"(169, 44)",1,1,0,0
"(170, 44)",1,0,0,1
"(171, 44)",0,1,1,0
"(172, 44)",0,0,0,1
"(173, 44)",1,0,1,1
"(174, 44)",0,0,1,1
"(175, 44)",1,1,1,0
"(176, 44)",1,0,0,1
"(177, 44)",0,1,1,0
"(178, 44)",1,0,0,0
"(179, 44)",1,0,0,1
"(180, 44)",1,0,1,0
"(181, 44)",0,1,0,1
"(182, 44)",0,0,1,1
"(183, 44)",1,0,1,0
"(184, 44)",1,0,0,1
"(185, 44)",0,0,1,1
"(186, 44)",1,0,1,1
"(187, 44)",0,0,1,1
"(188, 44)",0,1,1,0
"(189, 44)",1,0,0,1
"(190, 44)",0,0,1,1
"(191, 44)",1,0,1,0
"(192, 44)",1,1,0,0
"(193, 44)",1,0,0,1
"(194, 44)",0,0,1,1
"(195, 44)",1,1,1,0
"(196, 44)",0,0,0,1
"(197, 44)",0,0,1,1
"(198, 44)",1,1,1,0
"(199, 44)",1,1,0,0
"(200, 44)",1,1,0,0
"(1, 45)",1,1,0,0
"(2, 45)",0,0,0,1
"(3, 45)",0,0,1,1
"(4, 45)",0,1,1,0
"(5, 45)",0,1,0,1
"(6, 45)",1,0,1,0
"(7, 45)",1,1,0,0
"(8, 45)",1,1,0,0
"(9, 45)",1,0,0,1
"(10, 45)",0,1,1,0
"(11, 45)",1,1,0,1
"(12, 45)",1,0,1,0
"(13, 45)",0,1,0,1
"(14, 45)",0,1,1,0
"(15, 45)",0,0,0,1
"(16, 45)",0,0,1,1
"(17, 45)",1,1,1,0
"(18, 45)",1,0,0,1
"(19, 45)",0,0,1,1
"(20, 45)",0,1,1,0
"(21, 45)",1,1,0,1
"(22, 45)",0,1,1,0
"(23, 45)",1,1,0,0
"(24, 45)",0,1,0,1
"(25, 45)",0,0,1,0
"(26, 45)",0,1,0,1
"(27, 45)",0,1,1,1
"(28, 45)",0,1,1,0
"(29, 45)",0,0,0,1
"(30, 45)",0,1,1,1
"(31, 45)",1,0,1,0
"(32, 45)",0,1,0,0
"(33, 45)",1,1,0,0
"(34, 45)",0,0,0,1
"(35, 45)",0,1,1,0
"(36, 45)",1,1,0,0
"(37, 45)",1,1,0,0
"(38, 45)",1,0,0,1
"(39, 45)",1,0,1,0
"(40, 45)",1,0,0,1
"(41, 45)",1,0,1,0
"(42, 45)",1,1,0,0
"(43, 45)",1,0,0,1
"(44, 45)",0,0,1,1
"(45, 45)",0,0,1,1
"(46, 45)",0,0,1,1
"(47, 45)",1,0,1,0
"(48, 45)",1,1,0,0
"(49, 45)",0,1,0,0
"(50, 45)",1,1,0,0
"(51, 45)",1,0,0,1
"(52, 45)",0,0,1,1
"(53, 45)",1,1,1,0
"(54, 45)",1,1,0,0
"(55, 45)",1,0,0,1
"(56, 45)",1,0,1,0
"(57, 45)",1,0,0,1
"(58, 45)",1,0,1,0
"(59, 45)",1,1,0,0
"(60, 45)",1,1,0,0
"(61, 45)",0,1,0,0
"(62, 45)",0,1,0,1
"(63, 45)",0,0,1,1
"(64, 45)",1,0,1,0
"(65, 45)",0,1,0,0
"(66, 45)",1,0,0,1
"(67, 45)",0,1,1,0
"(68, 45)",1,0,0,1
"(69, 45)",0,0,1,1
"(70, 45)",0,0,1,1
"(71, 45)",0,0,1,1
"(72, 45)",0,1,1,0
"(73, 45)",0,0,0,1
"(74, 45)",1,0,1,1
"(75, 45)",0,1,1,1
"(76, 45)",0,0,1,1
"(77, 45)",1,0,1,0
"(78, 45)",1,0,0,1
"(79, 45)",0,1,1,1
"(80, 45)",0,0,1,1
"(81, 45)",1,0,1,0
"(82, 45)",1,1,0,1
"(83, 45)",1,0,1,0
"(84, 45)",1,0,0,1
"(85, 45)",0,0,1,1
"(86, 45)",0,1,1,0
"(87, 45)",1,1,0,1
"(88, 45)",1,0,1,0
"(89, 45)",1,0,0,1
"(90, 45)",0,0,1,1
"(91, 45)",0,1,1,0
"(92, 45)",0,0,0,1
"(93, 45)",0,1,1,1
"(94, 45)",1,0,1,0
"(95, 45)",0,1,0,1
"(96, 45)",0,1,1,0
"(97, 45)",0,1,0,0
"(98, 45)",1,0,0,1
"(99, 45)",1,0,1,0
"(100, 45)",1,0,0,1
"(101, 45)",0,0,1,1
"(102, 45)",0,0,1,1
"(103, 45)",0,1,1,0
"(104, 45)",0,1,0,1
"(105, 45)",1,0,1,0
"(106, 45)",0,1,0,1
"(107, 45)",0,1,1,0
"(108, 45)",1,1,0,1
"(109, 45)",0,0,1,0
"(110, 45)",1,0,0,1
"(111, 45)",0,1,1,1
"(112, 45)",1,0,1,1
"(113, 45)",0,0,1,0
"(114, 45)",0,1,0,1
"(115, 45)",1,1,1,0
"(116, 45)",0,1,0,1
"(117, 45)",0,0,1,0
"(118, 45)",1,0,0,1
"(119, 45)",0,0,1,1
"(120, 45)",0,0,1,1
"(121, 45)",1,0,1,1
"(122, 45)",1,0,1,0
"(123, 45)",0,1,0,1
"(124, 45)",0,1,1,0
"(125, 45)",1,1,0,0
"(126, 45)",1,1,0,0
"(127, 45)",1,1,0,0
"(128, 45)",1,0,0,0
"(129, 45)",1,1,0,0
"(130, 45)",0,1,0,1
"(131, 45)",0,1,1,1
"(132, 45)",1,1,1,0
"(133, 45)",1,1,0,0
"(134, 45)",1,1,0,0
"(135, 45)",0,1,0,1
"(136, 45)",0,0,1,1
"(137, 45)",1,0,1,0
"(138, 45)",1,0,0,1
"(139, 45)",0,1,1,0
"(140, 45)",1,1,0,0
"(141, 45)",1,1,0,0
"(142, 45)",0,1,0,0
"(143, 45)",1,1,0,0
"(144, 45)",0,1,0,1
"(145, 45)",0,1,1,0
"(146, 45)",1,1,0,0
"(147, 45)",0,1,0,1
"(148, 45)",1,0,1,0
"(149, 45)",0,1,0,1
"(150, 45)",1,1,1,0
"(151, 45)",1,1,0,0
"(152, 45)",1,1,0,1
"(153, 45)",0,1,1,0
"(154, 45)",0,1,0,1
"(155, 45)",0,0,1,1
"(156, 45)",1,0,1,0
"(157, 45)",1,1,0,0
"(158, 45)",1,1,0,0
"(159, 45)",0,1,0,0
"(160, 45)",1,0,0,1
"(161, 45)",1,0,1,0
"(162, 45)",0,1,0,1
"(163, 45)",1,0,1,0
"(164, 45)",1,1,0,1
"(165, 45)",1,0,1,0
"(166, 45)",1,1,0,0
"(167, 45)",1,1,0,0
"(168, 45)",0,1,0,1
"(169, 45)",1,1,1,0
"(170, 45)",0,1,0,1
"(171, 45)",0,0,1,1
"(172, 45)",1,0,1,0
"(173, 45)",0,1,0,1
"(174, 45)",0,0,1,0
"(175, 45)",1,1,0,0
"(176, 45)",1,1,0,0
"(177, 45)",1,0,0,1
"(178, 45)",0,1,1,0
"(179, 45)",1,1,0,0
"(180, 45)",0,1,0,1
"(181, 45)",1,0,1,1
"(182, 45)",0,0,1,0
"(183, 45)",1,1,0,0
"(184, 45)",1,1,0,0
"(185, 45)",0,0,0,1
"(186, 45)",0,1,1,0
"(187, 45)",1,0,0,1
"(188, 45)",0,0,1,1
"(189, 45)",0,1,1,0
"(190, 45)",1,0,0,0
"(191, 45)",0,1,0,1
"(192, 45)",0,1,1,0
"(193, 45)",0,1,0,1
"(194, 45)",1,0,1,0
"(195, 45)",0,1,0,1
"(196, 45)",1,0,1,1
"(197, 45)",1,0,1,0
"(198, 45)",1,1,0,0
"(199, 45)",0,1,0,0
"(200, 45)",1,1,0,0
"(1, 46)",0,1,0,1
"(2, 46)",0,0,1,1
"(3, 46)",0,0,1,1
"(4, 46)",0,0,1,1
"(5, 46)",0,0,1,1
"(6, 46)",0,1,1,0
"(7, 46)",1,1,0,0
